"","Statistic","Year","Road.User.Type","Sex","Age.Group","value"
"7631","Injured Cassualties (Number)","2014","Car drivers","Male","65 years and over",198
"7632","All Killed and Injured Casualties (Number)","2014","Car drivers","Male","65 years and over",208
"7633","Killed Casualties (Number)","2015","Car drivers","Male","65 years and over",13
"7634","Injured Cassualties (Number)","2015","Car drivers","Male","65 years and over",185
"7635","All Killed and Injured Casualties (Number)","2015","Car drivers","Male","65 years and over",198
"7636","Killed Casualties (Number)","2016","Car drivers","Male","65 years and over",16
"7637","Injured Cassualties (Number)","2016","Car drivers","Male","65 years and over",192
"7638","All Killed and Injured Casualties (Number)","2016","Car drivers","Male","65 years and over",208
"7639","Killed Casualties (Number)","2017","Car drivers","Male","65 years and over",6
"7640","Injured Cassualties (Number)","2017","Car drivers","Male","65 years and over",220
"7641","All Killed and Injured Casualties (Number)","2017","Car drivers","Male","65 years and over",226
"7642","Killed Casualties (Number)","2018","Car drivers","Male","65 years and over",7
"7643","Injured Cassualties (Number)","2018","Car drivers","Male","65 years and over",206
"7644","All Killed and Injured Casualties (Number)","2018","Car drivers","Male","65 years and over",213
"7645","Killed Casualties (Number)","2005","Car passengers","Male","65 years and over",4
"7646","Injured Cassualties (Number)","2005","Car passengers","Male","65 years and over",28
"7647","All Killed and Injured Casualties (Number)","2005","Car passengers","Male","65 years and over",32
"7648","Killed Casualties (Number)","2006","Car passengers","Male","65 years and over",0
"7649","Injured Cassualties (Number)","2006","Car passengers","Male","65 years and over",23
"7650","All Killed and Injured Casualties (Number)","2006","Car passengers","Male","65 years and over",23
"7651","Killed Casualties (Number)","2007","Car passengers","Male","65 years and over",1
"7652","Injured Cassualties (Number)","2007","Car passengers","Male","65 years and over",27
"7653","All Killed and Injured Casualties (Number)","2007","Car passengers","Male","65 years and over",28
"7654","Killed Casualties (Number)","2008","Car passengers","Male","65 years and over",1
"7655","Injured Cassualties (Number)","2008","Car passengers","Male","65 years and over",32
"7656","All Killed and Injured Casualties (Number)","2008","Car passengers","Male","65 years and over",33
"7657","Killed Casualties (Number)","2009","Car passengers","Male","65 years and over",0
"7658","Injured Cassualties (Number)","2009","Car passengers","Male","65 years and over",31
"7659","All Killed and Injured Casualties (Number)","2009","Car passengers","Male","65 years and over",31
"7660","Killed Casualties (Number)","2010","Car passengers","Male","65 years and over",1
"7661","Injured Cassualties (Number)","2010","Car passengers","Male","65 years and over",29
"7662","All Killed and Injured Casualties (Number)","2010","Car passengers","Male","65 years and over",30
"7663","Killed Casualties (Number)","2011","Car passengers","Male","65 years and over",1
"7664","Injured Cassualties (Number)","2011","Car passengers","Male","65 years and over",25
"7665","All Killed and Injured Casualties (Number)","2011","Car passengers","Male","65 years and over",26
"7666","Killed Casualties (Number)","2012","Car passengers","Male","65 years and over",2
"7667","Injured Cassualties (Number)","2012","Car passengers","Male","65 years and over",30
"7668","All Killed and Injured Casualties (Number)","2012","Car passengers","Male","65 years and over",32
"7669","Killed Casualties (Number)","2013","Car passengers","Male","65 years and over",6
"7670","Injured Cassualties (Number)","2013","Car passengers","Male","65 years and over",36
"7671","All Killed and Injured Casualties (Number)","2013","Car passengers","Male","65 years and over",42
"7672","Killed Casualties (Number)","2014","Car passengers","Male","65 years and over",3
"7673","Injured Cassualties (Number)","2014","Car passengers","Male","65 years and over",28
"7674","All Killed and Injured Casualties (Number)","2014","Car passengers","Male","65 years and over",31
"7675","Killed Casualties (Number)","2015","Car passengers","Male","65 years and over",2
"7676","Injured Cassualties (Number)","2015","Car passengers","Male","65 years and over",33
"7677","All Killed and Injured Casualties (Number)","2015","Car passengers","Male","65 years and over",35
"7678","Killed Casualties (Number)","2016","Car passengers","Male","65 years and over",1
"7679","Injured Cassualties (Number)","2016","Car passengers","Male","65 years and over",25
"7680","All Killed and Injured Casualties (Number)","2016","Car passengers","Male","65 years and over",26
"7681","Killed Casualties (Number)","2017","Car passengers","Male","65 years and over",1
"7682","Injured Cassualties (Number)","2017","Car passengers","Male","65 years and over",43
"7683","All Killed and Injured Casualties (Number)","2017","Car passengers","Male","65 years and over",44
"7684","Killed Casualties (Number)","2018","Car passengers","Male","65 years and over",1
"7685","Injured Cassualties (Number)","2018","Car passengers","Male","65 years and over",27
"7686","All Killed and Injured Casualties (Number)","2018","Car passengers","Male","65 years and over",28
"7687","Killed Casualties (Number)","2005","Other road users","Male","65 years and over",1
"7688","Injured Cassualties (Number)","2005","Other road users","Male","65 years and over",22
"7689","All Killed and Injured Casualties (Number)","2005","Other road users","Male","65 years and over",23
"7690","Killed Casualties (Number)","2006","Other road users","Male","65 years and over",4
"7691","Injured Cassualties (Number)","2006","Other road users","Male","65 years and over",30
"7692","All Killed and Injured Casualties (Number)","2006","Other road users","Male","65 years and over",34
"7693","Killed Casualties (Number)","2007","Other road users","Male","65 years and over",3
"7694","Injured Cassualties (Number)","2007","Other road users","Male","65 years and over",16
"7695","All Killed and Injured Casualties (Number)","2007","Other road users","Male","65 years and over",19
"7696","Killed Casualties (Number)","2008","Other road users","Male","65 years and over",6
"7697","Injured Cassualties (Number)","2008","Other road users","Male","65 years and over",21
"7698","All Killed and Injured Casualties (Number)","2008","Other road users","Male","65 years and over",27
"7699","Killed Casualties (Number)","2009","Other road users","Male","65 years and over",1
"7700","Injured Cassualties (Number)","2009","Other road users","Male","65 years and over",27
"7701","All Killed and Injured Casualties (Number)","2009","Other road users","Male","65 years and over",28
"7702","Killed Casualties (Number)","2010","Other road users","Male","65 years and over",0
"7703","Injured Cassualties (Number)","2010","Other road users","Male","65 years and over",17
"7704","All Killed and Injured Casualties (Number)","2010","Other road users","Male","65 years and over",17
"7705","Killed Casualties (Number)","2011","Other road users","Male","65 years and over",1
"7706","Injured Cassualties (Number)","2011","Other road users","Male","65 years and over",25
"7707","All Killed and Injured Casualties (Number)","2011","Other road users","Male","65 years and over",26
"7708","Killed Casualties (Number)","2012","Other road users","Male","65 years and over",1
"7709","Injured Cassualties (Number)","2012","Other road users","Male","65 years and over",21
"7710","All Killed and Injured Casualties (Number)","2012","Other road users","Male","65 years and over",22
"7711","Killed Casualties (Number)","2013","Other road users","Male","65 years and over",0
"7712","Injured Cassualties (Number)","2013","Other road users","Male","65 years and over",17
"7713","All Killed and Injured Casualties (Number)","2013","Other road users","Male","65 years and over",17
"7714","Killed Casualties (Number)","2014","Other road users","Male","65 years and over",1
"7715","Injured Cassualties (Number)","2014","Other road users","Male","65 years and over",30
"7716","All Killed and Injured Casualties (Number)","2014","Other road users","Male","65 years and over",31
"7717","Killed Casualties (Number)","2015","Other road users","Male","65 years and over",1
"7718","Injured Cassualties (Number)","2015","Other road users","Male","65 years and over",32
"7719","All Killed and Injured Casualties (Number)","2015","Other road users","Male","65 years and over",33
"7720","Killed Casualties (Number)","2016","Other road users","Male","65 years and over",1
"7721","Injured Cassualties (Number)","2016","Other road users","Male","65 years and over",40
"7722","All Killed and Injured Casualties (Number)","2016","Other road users","Male","65 years and over",33
"7723","Killed Casualties (Number)","2017","Other road users","Male","65 years and over",2
"7724","Injured Cassualties (Number)","2017","Other road users","Male","65 years and over",29
"7725","All Killed and Injured Casualties (Number)","2017","Other road users","Male","65 years and over",31
"7726","Killed Casualties (Number)","2018","Other road users","Male","65 years and over",1
"7727","Injured Cassualties (Number)","2018","Other road users","Male","65 years and over",39
"7728","All Killed and Injured Casualties (Number)","2018","Other road users","Male","65 years and over",40
"7729","Killed Casualties (Number)","2005","All road users","Female","65 years and over",22
"7730","Injured Cassualties (Number)","2005","All road users","Female","65 years and over",248
"7731","All Killed and Injured Casualties (Number)","2005","All road users","Female","65 years and over",270
"7732","Killed Casualties (Number)","2006","All road users","Female","65 years and over",32
"7733","Injured Cassualties (Number)","2006","All road users","Female","65 years and over",269
"7734","All Killed and Injured Casualties (Number)","2006","All road users","Female","65 years and over",301
"7735","Killed Casualties (Number)","2007","All road users","Female","65 years and over",24
"7736","Injured Cassualties (Number)","2007","All road users","Female","65 years and over",246
"7737","All Killed and Injured Casualties (Number)","2007","All road users","Female","65 years and over",270
"7738","Killed Casualties (Number)","2008","All road users","Female","65 years and over",19
"7739","Injured Cassualties (Number)","2008","All road users","Female","65 years and over",298
"7740","All Killed and Injured Casualties (Number)","2008","All road users","Female","65 years and over",317
"7741","Killed Casualties (Number)","2009","All road users","Female","65 years and over",12
"7742","Injured Cassualties (Number)","2009","All road users","Female","65 years and over",313
"7743","All Killed and Injured Casualties (Number)","2009","All road users","Female","65 years and over",325
"7744","Killed Casualties (Number)","2010","All road users","Female","65 years and over",8
"7745","Injured Cassualties (Number)","2010","All road users","Female","65 years and over",266
"7746","All Killed and Injured Casualties (Number)","2010","All road users","Female","65 years and over",274
"7747","Killed Casualties (Number)","2011","All road users","Female","65 years and over",19
"7748","Injured Cassualties (Number)","2011","All road users","Female","65 years and over",260
"7749","All Killed and Injured Casualties (Number)","2011","All road users","Female","65 years and over",279
"7750","Killed Casualties (Number)","2012","All road users","Female","65 years and over",19
"7751","Injured Cassualties (Number)","2012","All road users","Female","65 years and over",288
"7752","All Killed and Injured Casualties (Number)","2012","All road users","Female","65 years and over",307
"7753","Killed Casualties (Number)","2013","All road users","Female","65 years and over",15
"7754","Injured Cassualties (Number)","2013","All road users","Female","65 years and over",262
"7755","All Killed and Injured Casualties (Number)","2013","All road users","Female","65 years and over",277
"7756","Killed Casualties (Number)","2014","All road users","Female","65 years and over",17
"7757","Injured Cassualties (Number)","2014","All road users","Female","65 years and over",343
"7758","All Killed and Injured Casualties (Number)","2014","All road users","Female","65 years and over",360
"7759","Killed Casualties (Number)","2015","All road users","Female","65 years and over",8
"7760","Injured Cassualties (Number)","2015","All road users","Female","65 years and over",342
"7761","All Killed and Injured Casualties (Number)","2015","All road users","Female","65 years and over",350
"7762","Killed Casualties (Number)","2016","All road users","Female","65 years and over",17
"7763","Injured Cassualties (Number)","2016","All road users","Female","65 years and over",325
"7764","All Killed and Injured Casualties (Number)","2016","All road users","Female","65 years and over",342
"7765","Killed Casualties (Number)","2017","All road users","Female","65 years and over",18
"7766","Injured Cassualties (Number)","2017","All road users","Female","65 years and over",342
"7767","All Killed and Injured Casualties (Number)","2017","All road users","Female","65 years and over",360
"7768","Killed Casualties (Number)","2018","All road users","Female","65 years and over",10
"7769","Injured Cassualties (Number)","2018","All road users","Female","65 years and over",423
"7770","All Killed and Injured Casualties (Number)","2018","All road users","Female","65 years and over",433
"7771","Killed Casualties (Number)","2005","Pedestrians","Female","65 years and over",8
"7772","Injured Cassualties (Number)","2005","Pedestrians","Female","65 years and over",60
"7773","All Killed and Injured Casualties (Number)","2005","Pedestrians","Female","65 years and over",68
"7774","Killed Casualties (Number)","2006","Pedestrians","Female","65 years and over",15
"7775","Injured Cassualties (Number)","2006","Pedestrians","Female","65 years and over",70
"7776","All Killed and Injured Casualties (Number)","2006","Pedestrians","Female","65 years and over",85
"7777","Killed Casualties (Number)","2007","Pedestrians","Female","65 years and over",16
"7778","Injured Cassualties (Number)","2007","Pedestrians","Female","65 years and over",53
"7779","All Killed and Injured Casualties (Number)","2007","Pedestrians","Female","65 years and over",69
"7780","Killed Casualties (Number)","2008","Pedestrians","Female","65 years and over",6
"7781","Injured Cassualties (Number)","2008","Pedestrians","Female","65 years and over",86
"7782","All Killed and Injured Casualties (Number)","2008","Pedestrians","Female","65 years and over",92
"7783","Killed Casualties (Number)","2009","Pedestrians","Female","65 years and over",7
"7784","Injured Cassualties (Number)","2009","Pedestrians","Female","65 years and over",73
"7785","All Killed and Injured Casualties (Number)","2009","Pedestrians","Female","65 years and over",80
"7786","Killed Casualties (Number)","2010","Pedestrians","Female","65 years and over",4
"7787","Injured Cassualties (Number)","2010","Pedestrians","Female","65 years and over",52
"7788","All Killed and Injured Casualties (Number)","2010","Pedestrians","Female","65 years and over",56
"7789","Killed Casualties (Number)","2011","Pedestrians","Female","65 years and over",6
"7790","Injured Cassualties (Number)","2011","Pedestrians","Female","65 years and over",73
"7791","All Killed and Injured Casualties (Number)","2011","Pedestrians","Female","65 years and over",79
"7792","Killed Casualties (Number)","2012","Pedestrians","Female","65 years and over",5
"7793","Injured Cassualties (Number)","2012","Pedestrians","Female","65 years and over",69
"7794","All Killed and Injured Casualties (Number)","2012","Pedestrians","Female","65 years and over",74
"7795","Killed Casualties (Number)","2013","Pedestrians","Female","65 years and over",7
"7796","Injured Cassualties (Number)","2013","Pedestrians","Female","65 years and over",71
"7797","All Killed and Injured Casualties (Number)","2013","Pedestrians","Female","65 years and over",78
"7798","Killed Casualties (Number)","2014","Pedestrians","Female","65 years and over",9
"7799","Injured Cassualties (Number)","2014","Pedestrians","Female","65 years and over",82
"7800","All Killed and Injured Casualties (Number)","2014","Pedestrians","Female","65 years and over",91
"7801","Killed Casualties (Number)","2015","Pedestrians","Female","65 years and over",2
"7802","Injured Cassualties (Number)","2015","Pedestrians","Female","65 years and over",79
"7803","All Killed and Injured Casualties (Number)","2015","Pedestrians","Female","65 years and over",81
"7804","Killed Casualties (Number)","2016","Pedestrians","Female","65 years and over",8
"7805","Injured Cassualties (Number)","2016","Pedestrians","Female","65 years and over",81
"7806","All Killed and Injured Casualties (Number)","2016","Pedestrians","Female","65 years and over",89
"7807","Killed Casualties (Number)","2017","Pedestrians","Female","65 years and over",3
"7808","Injured Cassualties (Number)","2017","Pedestrians","Female","65 years and over",80
"7809","All Killed and Injured Casualties (Number)","2017","Pedestrians","Female","65 years and over",83
"7810","Killed Casualties (Number)","2018","Pedestrians","Female","65 years and over",5
"7811","Injured Cassualties (Number)","2018","Pedestrians","Female","65 years and over",93
"7812","All Killed and Injured Casualties (Number)","2018","Pedestrians","Female","65 years and over",98
"7813","Killed Casualties (Number)","2005","Pedal cyclists","Female","65 years and over",1
"7814","Injured Cassualties (Number)","2005","Pedal cyclists","Female","65 years and over",1
"7815","All Killed and Injured Casualties (Number)","2005","Pedal cyclists","Female","65 years and over",2
"7816","Killed Casualties (Number)","2006","Pedal cyclists","Female","65 years and over",0
"7817","Injured Cassualties (Number)","2006","Pedal cyclists","Female","65 years and over",0
"7818","All Killed and Injured Casualties (Number)","2006","Pedal cyclists","Female","65 years and over",0
"7819","Killed Casualties (Number)","2007","Pedal cyclists","Female","65 years and over",0
"7820","Injured Cassualties (Number)","2007","Pedal cyclists","Female","65 years and over",5
"7821","All Killed and Injured Casualties (Number)","2007","Pedal cyclists","Female","65 years and over",5
"7822","Killed Casualties (Number)","2008","Pedal cyclists","Female","65 years and over",0
"7823","Injured Cassualties (Number)","2008","Pedal cyclists","Female","65 years and over",5
"7824","All Killed and Injured Casualties (Number)","2008","Pedal cyclists","Female","65 years and over",5
"7825","Killed Casualties (Number)","2009","Pedal cyclists","Female","65 years and over",0
"7826","Injured Cassualties (Number)","2009","Pedal cyclists","Female","65 years and over",1
"7827","All Killed and Injured Casualties (Number)","2009","Pedal cyclists","Female","65 years and over",1
"7828","Killed Casualties (Number)","2010","Pedal cyclists","Female","65 years and over",0
"7829","Injured Cassualties (Number)","2010","Pedal cyclists","Female","65 years and over",0
"7830","All Killed and Injured Casualties (Number)","2010","Pedal cyclists","Female","65 years and over",0
"7831","Killed Casualties (Number)","2011","Pedal cyclists","Female","65 years and over",0
"7832","Injured Cassualties (Number)","2011","Pedal cyclists","Female","65 years and over",1
"7833","All Killed and Injured Casualties (Number)","2011","Pedal cyclists","Female","65 years and over",1
"7834","Killed Casualties (Number)","2012","Pedal cyclists","Female","65 years and over",1
"7835","Injured Cassualties (Number)","2012","Pedal cyclists","Female","65 years and over",4
"7836","All Killed and Injured Casualties (Number)","2012","Pedal cyclists","Female","65 years and over",5
"7837","Killed Casualties (Number)","2013","Pedal cyclists","Female","65 years and over",0
"7838","Injured Cassualties (Number)","2013","Pedal cyclists","Female","65 years and over",1
"7839","All Killed and Injured Casualties (Number)","2013","Pedal cyclists","Female","65 years and over",1
"7840","Killed Casualties (Number)","2014","Pedal cyclists","Female","65 years and over",0
"7841","Injured Cassualties (Number)","2014","Pedal cyclists","Female","65 years and over",5
"7842","All Killed and Injured Casualties (Number)","2014","Pedal cyclists","Female","65 years and over",5
"7843","Killed Casualties (Number)","2015","Pedal cyclists","Female","65 years and over",0
"7844","Injured Cassualties (Number)","2015","Pedal cyclists","Female","65 years and over",2
"7845","All Killed and Injured Casualties (Number)","2015","Pedal cyclists","Female","65 years and over",2
"7846","Killed Casualties (Number)","2016","Pedal cyclists","Female","65 years and over",0
"7847","Injured Cassualties (Number)","2016","Pedal cyclists","Female","65 years and over",15
"7848","All Killed and Injured Casualties (Number)","2016","Pedal cyclists","Female","65 years and over",15
"7849","Killed Casualties (Number)","2017","Pedal cyclists","Female","65 years and over",2
"7850","Injured Cassualties (Number)","2017","Pedal cyclists","Female","65 years and over",7
"7851","All Killed and Injured Casualties (Number)","2017","Pedal cyclists","Female","65 years and over",9
"7852","Killed Casualties (Number)","2018","Pedal cyclists","Female","65 years and over",0
"7853","Injured Cassualties (Number)","2018","Pedal cyclists","Female","65 years and over",8
"7854","All Killed and Injured Casualties (Number)","2018","Pedal cyclists","Female","65 years and over",8
"7855","Killed Casualties (Number)","2005","Motor cyclists","Female","65 years and over",0
"7856","Injured Cassualties (Number)","2005","Motor cyclists","Female","65 years and over",3
"7857","All Killed and Injured Casualties (Number)","2005","Motor cyclists","Female","65 years and over",3
"7858","Killed Casualties (Number)","2006","Motor cyclists","Female","65 years and over",0
"7859","Injured Cassualties (Number)","2006","Motor cyclists","Female","65 years and over",2
"7860","All Killed and Injured Casualties (Number)","2006","Motor cyclists","Female","65 years and over",2
"7861","Killed Casualties (Number)","2007","Motor cyclists","Female","65 years and over",0
"7862","Injured Cassualties (Number)","2007","Motor cyclists","Female","65 years and over",0
"7863","All Killed and Injured Casualties (Number)","2007","Motor cyclists","Female","65 years and over",0
"7864","Killed Casualties (Number)","2008","Motor cyclists","Female","65 years and over",0
"7865","Injured Cassualties (Number)","2008","Motor cyclists","Female","65 years and over",0
"7866","All Killed and Injured Casualties (Number)","2008","Motor cyclists","Female","65 years and over",0
"7867","Killed Casualties (Number)","2009","Motor cyclists","Female","65 years and over",0
"7868","Injured Cassualties (Number)","2009","Motor cyclists","Female","65 years and over",0
"7869","All Killed and Injured Casualties (Number)","2009","Motor cyclists","Female","65 years and over",0
"7870","Killed Casualties (Number)","2010","Motor cyclists","Female","65 years and over",0
"7871","Injured Cassualties (Number)","2010","Motor cyclists","Female","65 years and over",0
"7872","All Killed and Injured Casualties (Number)","2010","Motor cyclists","Female","65 years and over",0
"7873","Killed Casualties (Number)","2011","Motor cyclists","Female","65 years and over",1
"7874","Injured Cassualties (Number)","2011","Motor cyclists","Female","65 years and over",0
"7875","All Killed and Injured Casualties (Number)","2011","Motor cyclists","Female","65 years and over",1
"7876","Killed Casualties (Number)","2012","Motor cyclists","Female","65 years and over",0
"7877","Injured Cassualties (Number)","2012","Motor cyclists","Female","65 years and over",0
"7878","All Killed and Injured Casualties (Number)","2012","Motor cyclists","Female","65 years and over",0
"7879","Killed Casualties (Number)","2013","Motor cyclists","Female","65 years and over",0
"7880","Injured Cassualties (Number)","2013","Motor cyclists","Female","65 years and over",0
"7881","All Killed and Injured Casualties (Number)","2013","Motor cyclists","Female","65 years and over",0
"7882","Killed Casualties (Number)","2014","Motor cyclists","Female","65 years and over",0
"7883","Injured Cassualties (Number)","2014","Motor cyclists","Female","65 years and over",1
"7884","All Killed and Injured Casualties (Number)","2014","Motor cyclists","Female","65 years and over",1
"7885","Killed Casualties (Number)","2015","Motor cyclists","Female","65 years and over",0
"7886","Injured Cassualties (Number)","2015","Motor cyclists","Female","65 years and over",0
"7887","All Killed and Injured Casualties (Number)","2015","Motor cyclists","Female","65 years and over",0
"7888","Killed Casualties (Number)","2016","Motor cyclists","Female","65 years and over",0
"7889","Injured Cassualties (Number)","2016","Motor cyclists","Female","65 years and over",2
"7890","All Killed and Injured Casualties (Number)","2016","Motor cyclists","Female","65 years and over",2
"7891","Killed Casualties (Number)","2017","Motor cyclists","Female","65 years and over",0
"7892","Injured Cassualties (Number)","2017","Motor cyclists","Female","65 years and over",0
"7893","All Killed and Injured Casualties (Number)","2017","Motor cyclists","Female","65 years and over",0
"7894","Killed Casualties (Number)","2018","Motor cyclists","Female","65 years and over",0
"7895","Injured Cassualties (Number)","2018","Motor cyclists","Female","65 years and over",3
"7896","All Killed and Injured Casualties (Number)","2018","Motor cyclists","Female","65 years and over",3
"7897","Killed Casualties (Number)","2005","All Car users","Female","65 years and over",13
"7898","Injured Cassualties (Number)","2005","All Car users","Female","65 years and over",174
"7899","All Killed and Injured Casualties (Number)","2005","All Car users","Female","65 years and over",187
"7900","Killed Casualties (Number)","2006","All Car users","Female","65 years and over",16
"7901","Injured Cassualties (Number)","2006","All Car users","Female","65 years and over",182
"7902","All Killed and Injured Casualties (Number)","2006","All Car users","Female","65 years and over",198
"7903","Killed Casualties (Number)","2007","All Car users","Female","65 years and over",8
"7904","Injured Cassualties (Number)","2007","All Car users","Female","65 years and over",179
"7905","All Killed and Injured Casualties (Number)","2007","All Car users","Female","65 years and over",187
"7906","Killed Casualties (Number)","2008","All Car users","Female","65 years and over",13
"7907","Injured Cassualties (Number)","2008","All Car users","Female","65 years and over",200
"7908","All Killed and Injured Casualties (Number)","2008","All Car users","Female","65 years and over",213
"7909","Killed Casualties (Number)","2009","All Car users","Female","65 years and over",5
"7910","Injured Cassualties (Number)","2009","All Car users","Female","65 years and over",231
"7911","All Killed and Injured Casualties (Number)","2009","All Car users","Female","65 years and over",236
"7912","Killed Casualties (Number)","2010","All Car users","Female","65 years and over",4
"7913","Injured Cassualties (Number)","2010","All Car users","Female","65 years and over",208
"7914","All Killed and Injured Casualties (Number)","2010","All Car users","Female","65 years and over",212
"7915","Killed Casualties (Number)","2011","All Car users","Female","65 years and over",12
"7916","Injured Cassualties (Number)","2011","All Car users","Female","65 years and over",179
"7917","All Killed and Injured Casualties (Number)","2011","All Car users","Female","65 years and over",191
"7918","Killed Casualties (Number)","2012","All Car users","Female","65 years and over",12
"7919","Injured Cassualties (Number)","2012","All Car users","Female","65 years and over",205
"7920","All Killed and Injured Casualties (Number)","2012","All Car users","Female","65 years and over",217
"7921","Killed Casualties (Number)","2013","All Car users","Female","65 years and over",8
"7922","Injured Cassualties (Number)","2013","All Car users","Female","65 years and over",185
"7923","All Killed and Injured Casualties (Number)","2013","All Car users","Female","65 years and over",193
"7924","Killed Casualties (Number)","2014","All Car users","Female","65 years and over",8
"7925","Injured Cassualties (Number)","2014","All Car users","Female","65 years and over",244
"7926","All Killed and Injured Casualties (Number)","2014","All Car users","Female","65 years and over",252
"7927","Killed Casualties (Number)","2015","All Car users","Female","65 years and over",6
"7928","Injured Cassualties (Number)","2015","All Car users","Female","65 years and over",256
"7929","All Killed and Injured Casualties (Number)","2015","All Car users","Female","65 years and over",262
"7930","Killed Casualties (Number)","2016","All Car users","Female","65 years and over",9
"7931","Injured Cassualties (Number)","2016","All Car users","Female","65 years and over",219
"7932","All Killed and Injured Casualties (Number)","2016","All Car users","Female","65 years and over",228
"7933","Killed Casualties (Number)","2017","All Car users","Female","65 years and over",13
"7934","Injured Cassualties (Number)","2017","All Car users","Female","65 years and over",252
"7935","All Killed and Injured Casualties (Number)","2017","All Car users","Female","65 years and over",265
"7936","Killed Casualties (Number)","2018","All Car users","Female","65 years and over",5
"7937","Injured Cassualties (Number)","2018","All Car users","Female","65 years and over",297
"7938","All Killed and Injured Casualties (Number)","2018","All Car users","Female","65 years and over",302
"7939","Killed Casualties (Number)","2005","Car drivers","Female","65 years and over",5
"7940","Injured Cassualties (Number)","2005","Car drivers","Female","65 years and over",101
"7941","All Killed and Injured Casualties (Number)","2005","Car drivers","Female","65 years and over",106
"7942","Killed Casualties (Number)","2006","Car drivers","Female","65 years and over",12
"7943","Injured Cassualties (Number)","2006","Car drivers","Female","65 years and over",94
"7944","All Killed and Injured Casualties (Number)","2006","Car drivers","Female","65 years and over",106
"7945","Killed Casualties (Number)","2007","Car drivers","Female","65 years and over",4
"7946","Injured Cassualties (Number)","2007","Car drivers","Female","65 years and over",85
"7947","All Killed and Injured Casualties (Number)","2007","Car drivers","Female","65 years and over",89
"7948","Killed Casualties (Number)","2008","Car drivers","Female","65 years and over",7
"7949","Injured Cassualties (Number)","2008","Car drivers","Female","65 years and over",93
"7950","All Killed and Injured Casualties (Number)","2008","Car drivers","Female","65 years and over",100
"7951","Killed Casualties (Number)","2009","Car drivers","Female","65 years and over",4
"7952","Injured Cassualties (Number)","2009","Car drivers","Female","65 years and over",128
"7953","All Killed and Injured Casualties (Number)","2009","Car drivers","Female","65 years and over",132
"7954","Killed Casualties (Number)","2010","Car drivers","Female","65 years and over",3
"7955","Injured Cassualties (Number)","2010","Car drivers","Female","65 years and over",112
"7956","All Killed and Injured Casualties (Number)","2010","Car drivers","Female","65 years and over",115
"7957","Killed Casualties (Number)","2011","Car drivers","Female","65 years and over",7
"7958","Injured Cassualties (Number)","2011","Car drivers","Female","65 years and over",101
"7959","All Killed and Injured Casualties (Number)","2011","Car drivers","Female","65 years and over",108
"7960","Killed Casualties (Number)","2012","Car drivers","Female","65 years and over",7
"7961","Injured Cassualties (Number)","2012","Car drivers","Female","65 years and over",117
"7962","All Killed and Injured Casualties (Number)","2012","Car drivers","Female","65 years and over",124
"7963","Killed Casualties (Number)","2013","Car drivers","Female","65 years and over",6
"7964","Injured Cassualties (Number)","2013","Car drivers","Female","65 years and over",110
"7965","All Killed and Injured Casualties (Number)","2013","Car drivers","Female","65 years and over",116
"7966","Killed Casualties (Number)","2014","Car drivers","Female","65 years and over",5
"7967","Injured Cassualties (Number)","2014","Car drivers","Female","65 years and over",137
"7968","All Killed and Injured Casualties (Number)","2014","Car drivers","Female","65 years and over",142
"7969","Killed Casualties (Number)","2015","Car drivers","Female","65 years and over",3
"7970","Injured Cassualties (Number)","2015","Car drivers","Female","65 years and over",158
"7971","All Killed and Injured Casualties (Number)","2015","Car drivers","Female","65 years and over",161
"7972","Killed Casualties (Number)","2016","Car drivers","Female","65 years and over",2
"7973","Injured Cassualties (Number)","2016","Car drivers","Female","65 years and over",116
"7974","All Killed and Injured Casualties (Number)","2016","Car drivers","Female","65 years and over",118
"7975","Killed Casualties (Number)","2017","Car drivers","Female","65 years and over",7
"7976","Injured Cassualties (Number)","2017","Car drivers","Female","65 years and over",157
"7977","All Killed and Injured Casualties (Number)","2017","Car drivers","Female","65 years and over",164
"7978","Killed Casualties (Number)","2018","Car drivers","Female","65 years and over",3
"7979","Injured Cassualties (Number)","2018","Car drivers","Female","65 years and over",184
"7980","All Killed and Injured Casualties (Number)","2018","Car drivers","Female","65 years and over",187
"7981","Killed Casualties (Number)","2005","Car passengers","Female","65 years and over",8
"7982","Injured Cassualties (Number)","2005","Car passengers","Female","65 years and over",73
"7983","All Killed and Injured Casualties (Number)","2005","Car passengers","Female","65 years and over",81
"7984","Killed Casualties (Number)","2006","Car passengers","Female","65 years and over",4
"7985","Injured Cassualties (Number)","2006","Car passengers","Female","65 years and over",88
"7986","All Killed and Injured Casualties (Number)","2006","Car passengers","Female","65 years and over",92
"7987","Killed Casualties (Number)","2007","Car passengers","Female","65 years and over",4
"7988","Injured Cassualties (Number)","2007","Car passengers","Female","65 years and over",94
"7989","All Killed and Injured Casualties (Number)","2007","Car passengers","Female","65 years and over",98
"7990","Killed Casualties (Number)","2008","Car passengers","Female","65 years and over",6
"7991","Injured Cassualties (Number)","2008","Car passengers","Female","65 years and over",107
"7992","All Killed and Injured Casualties (Number)","2008","Car passengers","Female","65 years and over",113
"7993","Killed Casualties (Number)","2009","Car passengers","Female","65 years and over",1
"7994","Injured Cassualties (Number)","2009","Car passengers","Female","65 years and over",103
"7995","All Killed and Injured Casualties (Number)","2009","Car passengers","Female","65 years and over",104
